"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
73,"1_BEF_E17_4_11",2008,169,"1_BEF",39.059479,-78.059835,185,62,2065.70531691328,555.476661943101,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
74,"1_BEF_E12_4_12",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
75,"1_BEF_J3_4_13",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
76,"1_BEF_C2_4_14",2008,168,"1_BEF",39.059479,-78.059835,185,61,2065.70531691328,543.771806598197,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
77,"1_BEF_T14_4_15",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
78,"1_BEF_C17_4_16",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
79,"1_BEF_J28_4_17",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
80,"1_BEF_A18_4_18",2008,166,"1_BEF",39.059479,-78.059835,185,59,2065.70531691328,515.260316759144,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
81,"1_BEF_C15_4_19",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
82,"1_BEF_E6_4_20",2008,174,"1_BEF",39.059479,-78.059835,185,67,2065.70531691328,609.184739543773,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
83,"1_BEF_E23_4_21",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
